gene_name,identifier,variant_category
A1BG,P04217,0
A1BG,P04217,0
A1CF,Q9NQ94,0
A1CF,Q9NQ94,0
A2M,P01023,0
A2M,P01023,0
A2M,P01023,0
A2M,P01023,0
A2M,P01023,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A2ML1,A8K2U0,0
A4GALT,Q9NPC4,0
A4GALT,Q9NPC4,0
A4GALT,Q9NPC4,0
A4GALT,Q9NPC4,0
A4GALT,Q9NPC4,0
A4GALT,Q9NPC4,0
A4GNT,Q9UNA3,0
AAAS,Q9NRG9,1
AAAS,Q9NRG9,1
AAAS,Q9NRG9,1
AAAS,Q9NRG9,0
AACS,Q86V21,0
AACS,Q86V21,0
AADAC,P22760,0
AADACL2,Q6P093,0
AADACL2,Q6P093,0
AADACL3,Q5VUY0,0
AADACL3,Q5VUY0,0
AADACL3,Q5VUY0,0
AADACL3,Q5VUY0,0
AADACL3,Q5VUY0,0
AADACL3,Q5VUY0,0
AADAT,Q8N5Z0,0
AAGAB,Q6PD74,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAK1,Q2M2I8,0
AAMDC,Q9H7C9,0
AAMP,Q13685,0
AANAT,Q16613,0
AANAT,Q16613,2
AAR2,Q9Y312,0
AARD,Q4LEZ3,0
AARS1,P49588,0
AARS1,P49588,1
AARS1,P49588,1
AARS1,P49588,2
AARS1,P49588,1
AARS1,P49588,1
AARS1,P49588,1
AARS2,Q5JTZ9,0
AARS2,Q5JTZ9,0
AARS2,Q5JTZ9,0
AARS2,Q5JTZ9,1
AARS2,Q5JTZ9,1
AARS2,Q5JTZ9,1
AARS2,Q5JTZ9,2
AARS2,Q5JTZ9,2
AARS2,Q5JTZ9,1
AARS2,Q5JTZ9,0
AARS2,Q5JTZ9,1
AASDH,Q4L235,0
AASDH,Q4L235,0
AASDH,Q4L235,0
AASDH,Q4L235,0
AASDH,Q4L235,0
AASDH,Q4L235,0
AASDH,Q4L235,0
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,2
AATK,Q6ZMQ8,2
AATK,Q6ZMQ8,2
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,0
AATK,Q6ZMQ8,0
ABAT,P80404,1
ABAT,P80404,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,2
ABCA1,O95477,2
ABCA1,O95477,2
ABCA1,O95477,2
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,0
ABCA1,O95477,1
ABCA1,O95477,1
ABCA1,O95477,2
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,2
ABCA1,O95477,1
ABCA1,O95477,0
ABCA1,O95477,0
ABCA10,Q8WWZ4,0
ABCA10,Q8WWZ4,0
ABCA10,Q8WWZ4,0
ABCA10,Q8WWZ4,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,0
ABCA12,Q86UK0,2
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA12,Q86UK0,1
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA13,Q86UQ4,0
ABCA2,Q9BZC7,0
ABCA2,Q9BZC7,0
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,0
ABCA3,Q99758,0
ABCA3,Q99758,2
ABCA3,Q99758,2
ABCA3,Q99758,2
